"id";"rating";"text";"time_created";"user_name";"truck_id"
2092;4;"Tried this when they were at Turtle Swamp Brewery and it was delicious. The fries are fantastic! I'll look forward to them being there again!";"2018-05-18 15:47:53";"K M.";3342
2102;5;"What a happy moment it was stumbling across the Cookie Monstah in Boston Common on a hot day. The name gave me a chuckle, but the cookie and ice cream...";"2018-08-04 21:27:24";"Gabriel N.";3352
2112;5;"I'm careful to say when I've had life changing desserts. The kind that make you want to immediately go buy the same thing again. And then go the next day...";"2018-05-30 13:39:36";"Nick B.";3352
2122;4;"Nothing small here, the Cookie Monstah serves up gigantic ice cream sandwiches made to order. A variety of different cookies and different ice creams in...";"2018-04-23 13:09:12";"Bruce K.";3352
2132;5;"SO GOOD

Nothing but awesome things to say about this place. The Mighty Rib Melt is my absolute fave. So much flavor and a perfect size for the price. The...";"2018-04-13 07:37:40";"Matt S.";3362
2142;4;"Roxy's is a fun place that does a few spins on grilled cheese. There are limited tables inside but there are seats facing the window along the perimeter- I...";"2018-07-06 14:19:11";"Sherrin M.";3362
2152;3;"I want to love everything about this place. But I can't give it more than 3 stars. 

First: the Barcade- it's great, but you could end up waiting for hours...";"2018-04-01 09:43:58";"Daniel T.";3362
2162;4;"Rice Burg is my favorite food truck in the city. I don't actually like the ""rice burg"". The rice bun is tough and extremely messy to eat. I prefer the rice...";"2018-04-30 10:29:40";"Chilly P.";3372
2172;1;"I had the Mala spicy chicken and rice bowl from their food truck. The meal consisted of tough-rubbery chicken, rice, and mixed spring leaves and nothing...";"2018-07-23 09:52:53";"James G.";3372
2182;2;"Pretty neat idea with rice as the bun. Rice burg came into my work for catering and I was really looking forward to this for quite awhile since it was an...";"2018-01-12 21:31:44";"Eric D.";3372
2192;4;"When you have to stand in the sun to order and wait for your sandwich on a hot and humid day and have no regrets, you know a place is worth a visit. They...";"2018-08-06 03:21:57";"Kate W.";3382
2202;4;"Tried the Dining Car today while at SOWA. I'm not sure what happened but the number of food trucks parked at the market has been cut in almost half since...";"2018-07-29 13:25:58";"Nav D.";3382
2212;4;"First time trying this food truck, and it won't be my last. I got the Grilled Chicken Sandwich. I love how the chicken breast and cucumbers were thinly...";"2018-08-06 10:47:02";"Valerie S.";3382
2222;2;"¡Que insípido! I'm a vegan which is why I decided to give their food truck a try and I wasn't impressed at all. I ordered the fried tofu taco and the...";"2018-05-22 11:24:47";"James I.";3392
2232;4;"Wow...I just stumped upon this place. I was starving and this spot hit it on the nose, well stomach. For 10 bucks, 2 vegan tacos, rice and black beans. LOTS...";"2018-06-17 12:49:10";"L T.";3392
2242;5;"Quality over Quantity

The portions are not huge, but they are big enough to make a meal.
The prices aren't cheap, but they won't break the bank.
The menu...";"2018-05-08 14:09:43";"Ted Q.";3392
2252;5;"Had a Pennypacker lunch and it was excellent.  I had a Porchetta sandwich and I couldn't get enough.  I am a foody and very picky but this is the best...";"2018-03-16 14:45:58";"Thomas F.";3402
2262;4;"First time eating here and I was skeptical but glad I gave it a shot! I ordered the fried chicken sandwich Lebanese style it said on the board where the...";"2018-08-10 18:42:37";"Kassy B.";3402
2272;5;"Cranberry and orange relish, Apple/pear butter, lemon pickled fennel....step away from the kitchen and let the sandwich artists cook their works of art! You...";"2016-12-18 06:04:19";"Donald S.";3402
